"name_name","name_category","name_price","name_comment_count","name_comment_count_url","name_comment1","name_comment1_url","name_comment2","name_comment2_url","name_open"
"9. Nathanhouse","美國菜, 牛排","$$ - $$$","80 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d17322643-Reviews-Nathanhouse-Hong_Kong.html#REVIEWS","“慢煮控。值得一試”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d17322643-r723965516-Nathanhouse-Hong_Kong.html","“浪漫小紅屋餐廳”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d17322643-r723765385-Nathanhouse-Hong_Kong.html","正在營業"
"10. Cafe Gray","國際菜, 歐洲菜","$$$$","1,501 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d1811943-Reviews-Cafe_Gray_Deluxe-Hong_Kong.html#REVIEWS","“和朋友聚會的好地方”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1811943-r714735394-Cafe_Gray_Deluxe-Hong_Kong.html","“great high tea”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1811943-r712448990-Cafe_Gray_Deluxe-Hong_Kong.html","正在營業"
"11. The Oyster House","海鮮","$$ - $$$","122 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d10463607-Reviews-The_Oyster_House-Hong_Kong.html#REVIEWS","“高質西餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10463607-r719767797-The_Oyster_House-Hong_Kong.html","“超正生蠔”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10463607-r719093779-The_Oyster_House-Hong_Kong.html","正在營業"
"12. 天龍軒","中菜, 亞洲菜","$$$$","1,181 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html#REVIEWS","“超五星级水准”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2399904-r721639266-Tin_Lung_Heen-Hong_Kong.html","“非常好的体验”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2399904-r720611131-Tin_Lung_Heen-Hong_Kong.html","正在營業"
"13. Bistecca Italian Steak House","意大利菜, 牛排","$$ - $$$","654 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d2276403-Reviews-Bistecca_Italian_Steak_House-Hong_Kong.html#REVIEWS","“非常好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2276403-r712488210-Bistecca_Italian_Steak_House-Hong_Kong.html","“牛排超出了预期！”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2276403-r718257771-Bistecca_Italian_Steak_House-Hong_Kong.html","正在營業"
"14. La Brata","意大利菜, 地中海菜","$$ - $$$","321 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d12556435-Reviews-La_Brata-Hong_Kong.html#REVIEWS","“聚餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12556435-r690779457-La_Brata-Hong_Kong.html","“啲嘢食几好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12556435-r677974784-La_Brata-Hong_Kong.html","正在營業"
"15. Braza Churrascaria Brazilian Steakhouse","牛排, 巴西菜","$$ - $$$","910 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d7808139-Reviews-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html#REVIEWS","“非常好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d7808139-r712488204-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html","“最赞的服务最香的肉！”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d7808139-r718542926-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html","正在營業"
"16. 長阪燒","日本菜, 晚餐","$$ - $$$","142 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d13832460-Reviews-Nagasakayaki-Hong_Kong.html#REVIEWS","“高質日本餐廳🙆🏻‍♀️”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13832460-r722573007-Nagasakayaki-Hong_Kong.html","“充滿日式風味的居酒屋”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13832460-r721890050-Nagasakayaki-Hong_Kong.html","正在營業"
"17. Odelice! (尖沙咀分店)","法國菜, 歐洲菜","$$ - $$$","168 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d14058027-Reviews-Odelice_Tsim_Sha_Tsui-Hong_Kong.html#REVIEWS","“Woo delicious 法國菜”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d14058027-r723492162-Odelice_Tsim_Sha_Tsui-Hong_Kong.html","“美味法式brunch”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d14058027-r722272345-Odelice_Tsim_Sha_Tsui-Hong_Kong.html","正在營業"
"18. Te Quiero Mucho","墨西哥菜, 拉丁菜","$$ - $$$","185 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d15055588-Reviews-Te_Quiero_Mucho-Hong_Kong.html#REVIEWS","“我是个墨西哥人，我认为这里的食物不错！”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15055588-r716019745-Te_Quiero_Mucho-Hong_Kong.html","“热天的冰早餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15055588-r718351917-Te_Quiero_Mucho-Hong_Kong.html","正在營業"
"19. VEA Restaurant and Lounge","法國菜, 歐洲菜","$$$$","216 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d9456925-Reviews-VEA_Restaurant_and_Lounge-Hong_Kong.html#REVIEWS","“非常有创意”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d9456925-r704478635-VEA_Restaurant_and_Lounge-Hong_Kong.html","“优雅的时光”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d9456925-r675602699-VEA_Restaurant_and_Lounge-Hong_Kong.html","正在營業"
"20. 鮨蕾","日本菜, 海鮮","$$$$","85 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d12812554-Reviews-Sushi_Tsubomi-Hong_Kong.html#REVIEWS","“豪裝日本餐廳食Omakase仲學到野添！”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12812554-r722820819-Sushi_Tsubomi-Hong_Kong.html","“慶祝紀念日🥰🥰🥰”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12812554-r722629077-Sushi_Tsubomi-Hong_Kong.html",""
"21. Komune","$$ - $$$","餐單","263 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d6963464-Reviews-Komune-Hong_Kong.html#REVIEWS","“适合家庭聚餐和儿童玩耍的地方”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6963464-r722275555-Komune-Hong_Kong.html","“还不错”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6963464-r690519997-Komune-Hong_Kong.html","正在營業"
"22. Burger Joys (太益樓)","美國菜, 酒吧","$$ - $$$","95 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d13476178-Reviews-Burger_Joys_Tai_Yik_House-Hong_Kong.html#REVIEWS","“隱世漢堡包店”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13476178-r721502729-Burger_Joys_Tai_Yik_House-Hong_Kong.html","“出色漢堡包店”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13476178-r719673100-Burger_Joys_Tai_Yik_House-Hong_Kong.html",""
"23. Ichu","秘魯菜, 拉丁菜","$$$$","199 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d15194359-Reviews-Ichu-Hong_Kong.html#REVIEWS","“2019年夏季餐廳周的午餐菜單”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15194359-r716112880-Ichu-Hong_Kong.html","“超級好的秘魯食物”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15194359-r718243335-Ichu-Hong_Kong.html","正在營業"
"24. 吉地士","法國菜, 歐洲菜","$$$$","276 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d788792-Reviews-Gaddi_s-Hong_Kong.html#REVIEWS","“晚餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d788792-r690562318-Gaddi_s-Hong_Kong.html","“經典奢華法國菜之夜”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d788792-r686075848-Gaddi_s-Hong_Kong.html","正在營業"
"25. 欣圖軒","中菜, 亞洲菜","$$$$","612 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d927163-Reviews-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html#REVIEWS","“香港中式点心”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d927163-r714662706-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html","“环境味道服务俱佳”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d927163-r709888002-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html","正在營業"
"26. Buenos Aires Polo Club","牛排, 阿根廷菜","$$$$","187 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d10882197-Reviews-Buenos_Aires_Polo_Club-Hong_Kong.html#REVIEWS","“適合慶祝的很出色的地方”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10882197-r714731221-Buenos_Aires_Polo_Club-Hong_Kong.html","“很棒的體驗”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10882197-r716019763-Buenos_Aires_Polo_Club-Hong_Kong.html","正在營業"
"27. 滿福樓","中菜","$$$$","245 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d797531-Reviews-Dynasty-Hong_Kong.html#REVIEWS","“食物环境服务一流”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d797531-r712487090-Dynasty-Hong_Kong.html","“非常好吃的中国菜”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d797531-r720683381-Dynasty-Hong_Kong.html","正在營業"
"28. Amber","現代創意菜","$$$$","1,007 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d939504-Reviews-Amber-Hong_Kong.html#REVIEWS","“水準不如以前高了”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d939504-r714967622-Amber-Hong_Kong.html","“這家餐廳真的非常棒，食物非常美味。”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d939504-r722269722-Amber-Hong_Kong.html","正在營業"
"29. Caprice","法國菜, 歐洲菜","$$$$","858 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d912108-Reviews-Caprice_Central-Hong_Kong.html#REVIEWS","“最佳慶生活動的地點”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d912108-r712356777-Caprice_Central-Hong_Kong.html","“精緻而神聖的用餐體驗。”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d912108-r722539452-Caprice_Central-Hong_Kong.html","正在營業"
"30. 雲來軒","中菜, 亞洲菜","$$ - $$$","173 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d10712103-Reviews-Cloudland_Chinese_Cuisine-Hong_Kong.html#REVIEWS","“用心的廣東菜｡”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10712103-r723563226-Cloudland_Chinese_Cuisine-Hong_Kong.html","“名廚的新派中菜”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10712103-r722928801-Cloudland_Chinese_Cuisine-Hong_Kong.html",""
"禾牛薈火煱館 (中國保險大廈)","亞洲菜, 中菜","","","","","","","",""
"Triple O's by White Spot 圓方","$","","","","","","","",""
"31. Feather & Bone","牛排, 熟食店","$$ - $$$","187 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d13303633-Reviews-Feather_Bone_Sai_Ying_Pun-Hong_Kong.html#REVIEWS","“Best taste and service”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13303633-r721392904-Feather_Bone_Sai_Ying_Pun-Hong_Kong.html","“食物服務環境非常好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13303633-r717977545-Feather_Bone_Sai_Ying_Pun-Hong_Kong.html","正在營業"
"32. DiVino Wine Bar & Restaurant","意大利菜, 歐洲菜","$$ - $$$","378 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d1015171-Reviews-DiVino_Wine_Bar_Restaurant-Hong_Kong.html#REVIEWS","“餐吧餐吧”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1015171-r721906030-DiVino_Wine_Bar_Restaurant-Hong_Kong.html","“环境还算不错,”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1015171-r654233046-DiVino_Wine_Bar_Restaurant-Hong_Kong.html","正在營業"
"33. Le Pain Quotidien","咖啡廳, 歐洲菜","$$ - $$$","230 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d12913326-Reviews-Le_Pain_Quotidien-Hong_Kong.html#REVIEWS","“推薦”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12913326-r700122164-Le_Pain_Quotidien-Hong_Kong.html","“下午茶”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12913326-r692334887-Le_Pain_Quotidien-Hong_Kong.html","正在營業"
"34. Carpaccio Pasta Pizza Vino","意大利菜, 薄餅","$$ - $$$","489 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d1880782-Reviews-Carpaccio_Pasta_Pizza_Vino-Hong_Kong.html#REVIEWS","“蘑菇湯”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1880782-r704537839-Carpaccio_Pasta_Pizza_Vino-Hong_Kong.html","“服務有待改進 料理很好 價格公道”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1880782-r693056041-Carpaccio_Pasta_Pizza_Vino-Hong_Kong.html","正在營業"
"35. Pierre at Mandarin Oriental, Hong Kong","法國菜","$$$$","388 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d824613-Reviews-Pierre-Hong_Kong.html#REVIEWS","“豐盛的皮埃爾午餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d824613-r722358733-Pierre-Hong_Kong.html","“摯友既生日飯”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d824613-r694539498-Pierre-Hong_Kong.html","正在營業"
"36. M Bar","酒吧","$$$$","169 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d2461283-Reviews-M_Bar_Mandarin_Oriental_Hong_Kong-Hong_Kong.html#REVIEWS","“品质保证”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2461283-r693957630-M_Bar_Mandarin_Oriental_Hong_Kong-Hong_Kong.html","“拥有维港景致的酒店酒吧”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2461283-r691586388-M_Bar_Mandarin_Oriental_Hong_Kong-Hong_Kong.html","正在營業"
"37. Quinary","酒吧","$$ - $$$","189 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d6732758-Reviews-Quinary-Hong_Kong.html#REVIEWS","“激多cocktail种类！要来多少次才够！”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6732758-r690779063-Quinary-Hong_Kong.html","“特色酒吧”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6732758-r687987054-Quinary-Hong_Kong.html","正在營業"
"38. DiVino Patio","意大利菜, 歐洲菜","$$ - $$$","413 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d3267122-Reviews-DiVino_Patio-Hong_Kong.html#REVIEWS","“味道刚刚好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d3267122-r722710217-DiVino_Patio-Hong_Kong.html","“ok”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d3267122-r716212393-DiVino_Patio-Hong_Kong.html","正在營業"
"39. 快船廊","國際菜","$$$$","435 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d1027723-Reviews-Clipper_Lounge-Hong_Kong.html#REVIEWS","“谈公事的好地方”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1027723-r723663440-Clipper_Lounge-Hong_Kong.html","“食品质素很高, 员工对客人很体贴”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1027723-r719541957-Clipper_Lounge-Hong_Kong.html","正在營業"
"40. 香港洲際酒店大堂酒廊","酒吧, 健康飲食","$$$$","521 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d1482758-Reviews-Lobby_Lounge_InterContinental_Hong_Kong-Hong_Kong.html#REVIEWS","“景色优美”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1482758-r714088586-Lobby_Lounge_InterContinental_Hong_Kong-Hong_Kong.html","“环境宁静，适合情侣或朋友到访”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1482758-r713796346-Lobby_Lounge_InterContinental_Hong_Kong-Hong_Kong.html","正在營業"
"41. 海倫司小酒館","酒吧","$$ - $$$","121 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d15123749-Reviews-Helen_s_Bar-Hong_Kong.html#REVIEWS","“海倫家酒吧氛圍閑適”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15123749-r716110251-Helen_s_Bar-Hong_Kong.html","“一個愉快的夜晚”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15123749-r716993365-Helen_s_Bar-Hong_Kong.html",""
"42. Uma Nota","街頭小吃, 日本菜","$$ - $$$","242 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d12237546-Reviews-Uma_Nota-Hong_Kong.html#REVIEWS","“苏豪区饮酒好地方”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12237546-r681138919-Uma_Nota-Hong_Kong.html","“有气氛的巴西fusion”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12237546-r664369531-Uma_Nota-Hong_Kong.html","正在營業"
"43. 小包包","亞洲菜, 國際菜","$$ - $$$","507 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d6420711-Reviews-Little_Bao-Hong_Kong.html#REVIEWS","“cute baobao”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6420711-r683125145-Little_Bao-Hong_Kong.html","“特別的雪糕漢堡”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6420711-r672732110-Little_Bao-Hong_Kong.html","正在營業"
"44. Fleur de Sel","法國菜, 歐洲菜","$$ - $$$","75 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d10542775-Reviews-Fleur_de_Sel-Hong_Kong.html#REVIEWS","“有咸有甜，任勻選擇”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10542775-r663394415-Fleur_de_Sel-Hong_Kong.html","“Amazing crepes”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10542775-r660442075-Fleur_de_Sel-Hong_Kong.html","正在營業"
"45. Tango Argentinian Steak House","牛排, 拉丁菜","$$ - $$$","613 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d2433070-Reviews-Tango_Argentinian_Steak_House-Hong_Kong.html#REVIEWS","“肉质鲜嫩和多汁的牛排、素菜新鲜的凯撒沙拉、香脆的炸乌贼、烤香肠和出色的甜品”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2433070-r721406479-Tango_Argentinian_Steak_House-Hong_Kong.html","“lunch抵食”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2433070-r704810171-Tango_Argentinian_Steak_House-Hong_Kong.html","正在營業"
"46. Town","歐洲菜, 國際菜","$$ - $$$","177 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d7619102-Reviews-Town-Hong_Kong.html#REVIEWS","“減肥時首選”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d7619102-r693936691-Town-Hong_Kong.html","“很好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d7619102-r676590040-Town-Hong_Kong.html","正在營業"
"47. 黑木","日本菜","$$ - $$$","66 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d15812231-Reviews-MOKUTAN-Hong_Kong.html#REVIEWS","“有質素居酒屋”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15812231-r718981607-MOKUTAN-Hong_Kong.html","“小店滋味”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15812231-r715982228-MOKUTAN-Hong_Kong.html",""
"48. 露台餐廳(尖沙咀)","國際菜, 歐洲菜","$$$$","351 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d788798-Reviews-The_Verandah_Restaurant_Tsim_Sha_Tsui-Hong_Kong.html#REVIEWS","“优雅舒适”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d788798-r723662523-The_Verandah_Restaurant_Tsim_Sha_Tsui-Hong_Kong.html","“悠闲的自助早餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d788798-r722463588-The_Verandah_Restaurant_Tsim_Sha_Tsui-Hong_Kong.html","正在營業"
"49. Manakamana Nepali Restaurant","印度菜, 亞洲菜","$","413 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d1321684-Reviews-Manakamana_Nepali_Restaurant-Hong_Kong.html#REVIEWS","“非常出色”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1321684-r718542732-Manakamana_Nepali_Restaurant-Hong_Kong.html","“晚餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1321684-r693307509-Manakamana_Nepali_Restaurant-Hong_Kong.html","正在營業"
"50. Bombay Dreams","印度菜, 亞洲菜","$$ - $$$","736 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d799250-Reviews-Bombay_Dreams-Hong_Kong.html#REVIEWS","“美好的周五晚餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d799250-r722281093-Bombay_Dreams-Hong_Kong.html","“地道”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d799250-r669766580-Bombay_Dreams-Hong_Kong.html","正在營業"
"51. The Pier - Cathay Pacific Lounge","$$$$","","177 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d3637087-Reviews-The_Pier_Cathay_Pacific_Lounge-Hong_Kong.html#REVIEWS","“自选西式餐枱选择了蘑菇、蕃茄、炒蛋和牛角包，配上即制的热拿铁”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d3637087-r722197398-The_Pier_Cathay_Pacific_Lounge-Hong_Kong.html","“吃很饱”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d3637087-r722197039-The_Pier_Cathay_Pacific_Lounge-Hong_Kong.html","正在營業"
"52. Ozone Bar","酒吧","$$$$","3,951 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html#REVIEWS","“在這家世界上海拔最高的酒吧里度過了一個有史以來最棒的生日！”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2198231-r714965414-OZONE-Hong_Kong.html","“在麗思卡爾頓酒店的高檔酒吧品酒”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2198231-r716107718-OZONE-Hong_Kong.html","正在營業"
